Id,Wikidata,Place,Total_Count,LAT,LONG
1,Q999257,East Greenwich,1,-71.48333333,41.65
2,Q85,Cairo,10,31.23583333,30.04444444
3,Q79,Egypt,17,27,29
4,Q651051,Gainesville,1,-83.8339,34.3044
5,Q5092,Baltimore,5,-76.615,39.28638889
6,Q496368,Wrexham,1,-2.993611111,53.04666667
7,Q456,Lyon,2,4.835,45.7675
8,Q3861300,Capo de Monte,1,13.7514,42.3731
9,Q30,America,15,-98.5795,39.828175
10,Q84,London,8,51.50722222,-0.1275
11,Q220,Rome,14,12.48277778,41.89305556
12,Q2044,Florence,14,11.25416667,43.77138889
13,Q1761,Dublin,5,-6.260277777,53.34972222
14,Q1415,Indiana,1,-86.21666667,39.93333333
15,Q1397,Ohio,2,-82.5,40.5
16,Q134509,Port Said,3,32.30611111,31.2625
17,Q1345,Philadelphia,2,-75.16361111,39.95277778
18,Q6106,Portland,1,45.51666667,-122.6666667
19,Q23112,Cambridgeshire,1,52.35,0
20,Q1425428,Newcastle,2,54.97777778,-1.613333333
21,Q2634,Naples,10,40.83583333,14.24861111
22,Q23482,Marseille,2,43.29666667,5.376388888
23,Q24826,Liverpool,6,53.40722222,-2.991666666
24,Q33405,Little Rock,1,34.74444444,-92.28805556
25,Q4093,Glasgow,1,55.86111111,-4.25
26,Q1007088,Helensburgh,1,56.00701,-4.7318
27,Q100,Boston,2,42.36027778,-71.05777778
28,Q6397,Avignon,5,43.94861111,4.808333333
29,Q87,Alexandria,2,31.1975,29.8925
30,Q7003,Dijon,2,47.32305556,5.041944444
31,Q2256,Birmingham,1,52.48,-1.9025
32,Q1297,Chicago,1,41.88194444,-87.62777778