Id,Person,Date,timeset
23,Helen Pitts Douglass,1886-09-23,1886-09-23T00:00:00
23,Helen Pitts Douglass,1886-09-23,1886-09-23T00:00:00
30,Helen Pitts Douglass,1887-01-06,1887-01-06T00:00:00
28,Helen Pitts Douglass,1887-01-11,1887-01-11T00:00:00
22,Helen Pitts Douglass,1887-01-13,1887-01-13T00:00:00
11,Helen Pitts Douglass,1887-01-23,1887-01-23T00:00:00
8,Helen Pitts Douglass,1887-01-28,1887-01-28T00:00:00
3,Helen Pitts Douglass,1887-02-12,1887-02-12T00:00:00
16,Helen Pitts Douglass,1887-02-15,1887-02-15T00:00:00
9,Helen Pitts Douglass,1887-02-15,1887-02-15T00:00:00
2,Helen Pitts Douglass,1887-03-02,1887-03-02T00:00:00
12,Helen Pitts Douglass,1887-03-11,1887-03-11T00:00:00
11,Helen Pitts Douglass,1887-03-25,1887-03-25T00:00:00
12,Ludmilla Assing,1887-05-10,1887-05-10T00:00:00
12,Ludmilla Assing,1887-05-10,1887-05-10T00:00:00
10,Charles Haddon Spurgeon,1887-06-05,1887-06-05T00:00:00
11,Charles Remond Douglass,1887-01-26,1887-01-26T00:00:00
21,Tucel Taccillo,1887-03-25,1887-03-25T00:00:00
13,Elizabeth Emily Webb,1887-06-05,1887-06-05T00:00:00
5,William Weaver,1894-03-17 ,1894-03-17T00:00:00
5,Thomas Edward Sears,1894-03-17,1894-03-17T00:00:00
19,Isabella Mills,1887-06-05,1887-06-05T00:00:00
15,Robert Folger,1894-03-17,1894-03-17T00:00:00
17,Henry Wayland,1894-03-17,1894-03-17T00:00:00
11,Putnam,1887-01-24,1887-01-24T00:00:00
11,Putnam,1887-01-26,1887-01-26T00:00:00
11,Putnam,1887-02-11,1887-02-11T00:00:00
11,Putnam,1887-04-18,1887-04-18T00:00:00
2,Harvey,1887-02-20,1887-02-20T00:00:00
2,Harvey,1887-02-24,1887-02-24T00:00:00
10,John Biddulph,1887-04-18,1887-04-18T00:00:00
10,Victoria Woodhull,1887-04-16,1887-04-16T00:00:00
10,Dora Delany,1887-06-05,1887-06-05T00:00:00
31,Arthur John Naish,1887-06-05,1887-06-05T00:00:00
13,John Webb,1887-06-05,1887-06-05T00:00:00
12,Richard Hildreth,1887-05-10,1887-05-10T00:00:00
12,Richard Hildreth,1887-05-10,1887-05-10T00:00:00
12,Elizabeth Barrett Browning,1887-05-10,1887-05-10T00:00:00
2,Richardson,1887-03-03,1887-03-03T00:00:00
2,Richardson,1887-03-11,1887-03-11T00:00:00
13,Susanna Webb,1887-06-05,1887-06-05T00:00:00
5,Alexander Wayman,1887-03-17,1887-03-17T00:00:00
14,Hannah Davis,1887-01-29,1887-01-29T00:00:00
16,Matthew Anderson,1887-02-15,1887-02-15T00:00:00
11,Maritcha Remond,1887-01-26,1887-01-26T00:00:00
21,Robert Ingorsol,1887-02-02,1887-02-02T00:00:00
12,Theodore Parker,1887-05-10,1887-05-10T00:00:00
25,Arthur Griffith,1886-06-05,1886-06-05T00:00:00
27,John Lewis,1894-03-17,1894-03-17T00:00:00
29,J Kinsman,1887-06-05,1887-06-05T00:00:00
26,Eliza Smith,1887-06-05,1887-06-05T00:00:00
7,Henry Wagoner,1887-01-17,1887-01-17T00:00:00
7,Henry Wagoner,1887-01-17,1887-01-17T00:00:00
7,Henry Wagoner,1887-01-17,1887-01-17T00:00:00
11,Edmonia Lewis,1887-03-26,1887-03-26T00:00:00
21,Fletcher,1887-01-04,1887-01-04T00:00:00
21,Fletcher,1887-02-02,1887-02-02T00:00:00
21,Fletcher,1887-02-07,1887-02-07T00:00:00
11,Fletcher,1887-02-10,1887-02-10T00:00:00
11,Fletcher,1887-02-11,1887-02-11T00:00:00
2,Shankland,1887-02-22,1887-02-22T00:00:00
20,Theodore Merz,1887-06-05,1887-06-05T00:00:00
4,Willie Bryant,1894-03-17 ,1894-03-17T00:00:00
18,S Pickard,1894-03-17 ,1894-03-17T00:00:00
17,Robert Purvis,1894-03-17,1894-03-17T00:00:00
24,Lizzie Foster,1894-03-17,1894-03-17T00:00:00
6,Rawlins,1886-09-22,1886-09-22T00:00:00
11,Sarah Remond,1887-01-26,1887-01-26T00:00:00
13,Deborah Webb,1887-06-05,1887-06-05T00:00:00
1,M Greene,1887-06-05,1887-06-05T00:00:00
5,Edward Sears,1887-06-05,1887-06-05T00:00:00
21,Hipwell,1887-01-28,1887-01-28T00:00:00
5,Thomas Auld,1894-03-17 ,1894-03-17T00:00:00
5,Amanda Auld,1894-03-17,1894-03-17T00:00:00
21,Jones,1887-02-06,1887-02-06T00:00:00
21,Jones,1887-02-07,1887-02-07T00:00:00
32,Jones,1887-03-17,1887-03-17T00:00:00
10,Clark,1887-05-08,1887-05-08T00:00:00
12,Marsh,1887-05-10,1887-05-10T00:00:00
13,Grace Isabel Webb,1887-06-05,1887-06-05T00:00:00
13,Roger Webb,1887-06-05,1887-06-05T00:00:00